,Round,Epoch,Train Accuracy,Test Accuracy,F1,Confusion Matrix
0,0,10,0,0.1025,0,0
1,1,10,0,0.0961,0,0
2,2,10,0,0.1119,0,0
3,3,10,0,0.1355,0,0
4,4,10,0,0.183,0,0
5,5,10,0,0.1804,0,0
6,6,10,0,0.2054,0,0
7,7,10,0,0.2318,0,0
8,8,10,0,0.2456,0,0
9,9,10,0,0.2536,0,0
10,10,10,0,0.2637,0,0
11,11,10,0,0.2728,0,0
12,12,10,0,0.2885,0,0
13,13,10,0,0.2996,0,0
14,14,10,0,0.3189,0,0
15,15,10,0,0.3281,0,0
16,16,10,0,0.3389,0,0
17,17,10,0,0.3663,0,0
18,18,10,0,0.378,0,0
19,19,10,0,0.3914,0,0
20,20,10,0,0.3994,0,0
21,21,10,0,0.4166,0,0
22,22,10,0,0.4294,0,0
23,23,10,0,0.4376,0,0
24,24,10,0,0.4421,0,0
